date,year,tournament,slug,field_size,winning_score,cash_line_p80,median_score,top_n,winners_avg_own,winners_low_own_mean,winners_unique_pct,winners_dup_max,winner_avg_own,winner_low_own_count,n_slate_defining,source_file
06-16-2024,2024,US Open,pga_rd4_sd,18823,263.25,159.4,180.5,100,15.19,1.78,84.0,4,12.5,3,3,06-16-2024 US Open R4 SD.csv
06-18-2023,2023,US Open,pga_rd4_sd,28235,296.75,165.05,185.25,100,14.94,2.44,93.0,3,17.34,3,3,06-18-2023 US Open R4 SD.csv
06-22-2025,2025,Travelers Championship,pga_rd4_sd,9411,321.85,200.3,228.05,94,16.26,1.97,83.0,6,7.05,4,3,06-22-2025 Travelers Championship R4 SD.csv
06-23-2024,2024,Travelers Championship,pga_rd4_sd,9411,390.2,267.95,292.5,94,16.87,1.91,88.3,3,16.03,2,2,06-23-2024 Travelers Championship R4 SD.csv
06-25-2023,2023,Travelers Championship,pga_rd4_sd,11764,384.7,261.05,282.5,100,16.44,2.58,100.0,1,15.24,3,2,06-25-2023 Travelers Championship R4 SD.csv
06-29-2025,2025,Rocket Classic,pga_rd4_sd,7058,363.3,263.95,286.65,71,19.56,1.59,73.2,6,18.63,2,1,06-29-2025 Rocket Classic R4 SD.csv
06-30-2024,2024,Rocket Mortgage Classic,pga_rd4_sd,9411,301.05,197.6,217.55,94,17.94,1.95,93.6,2,18.78,2,3,06-30-2024 Rocket Mortgage Classic R4 SD.csv
07-02-2023,2023,Rocket Mortgage,pga_rd4_sd,11764,395.0,258.73,284.62,100,21.2,1.63,74.0,6,20.27,1,3,07-02-2023 Rocket Mortgage R4 SD.csv
07-06-2025,2025,John Deere Classic,pga_rd4_sd,7058,391.65,263.42,289.8,71,15.59,1.07,97.2,2,12.46,1,5,07-06-2025 John Deere Classic R4 SD.csv
07-07-2024,2024,John Deere Classic,pga_rd4_sd,9411,446.05,290.5,325.15,94,21.53,0.76,69.1,6,18.55,0,4,07-07-2024 John Deere Classic R4 SD.csv
07-09-2023,2023,John Deere,pga_rd4_sd,11764,384.85,247.8,272.15,100,17.79,1.11,76.0,3,16.94,2,2,07-09-2023 John Deere R4 SD.csv
